feature,coef,abs_coef
ECF1_clusterSoftDrop,6.317300796006392,6.317300796006392
pt,-6.171293170450221,6.171293170450221
D2_clusterSoftDrop,-5.048862366656358,5.048862366656358
ECF2_clusterSoftDrop,-3.7984092288267726,3.7984092288267726
radiusOfFirstHit_mean,3.0891011109187985,3.0891011109187985
Tau21_clusterSoftDrop,2.8430602109623506,2.8430602109623506
mass,2.7301991196154205,2.7301991196154205
n_valid_tracks,-2.5942032282692415,2.5942032282692415
C2_clusterSoftDrop,2.190321875621335,2.190321875621335
Tau2_clusterSoftDrop,1.937743173288105,1.937743173288105
numberOfInnermostPixelLayerHits_mean,-1.8966472990866095,1.8966472990866095
radiusOfFirstHit_std,-1.4390077962725458,1.4390077962725458
Qw_clusterSoftDrop,1.40583478444288,1.40583478444288
numberOfSCTHits_mean,1.3396707395994873,1.3396707395994873
pt_log1p_std,-1.1384100077487174,1.1384100077487174
pt_log1p_mean,-1.0437830177878145,1.0437830177878145
Tau3_clusterSoftDrop,-1.0051578572242823,1.0051578572242823
energy,-1.0028781613629572,1.0028781613629572
numberOfPixelHits_mean,-0.9340464479132101,0.9340464479132101
numberOfSCTHoles_mean,-0.7321921631983066,0.7321921631983066
dphi_std,0.6461388006092633,0.6461388006092633
Tau1_clusterSoftDrop,-0.5805928379683413,0.5805928379683413
deta_std,0.5534899805237389,0.5534899805237389
d0_std,-0.5163559037747875,0.5163559037747875
numberOfPixelSharedHits_std,-0.500810117921254,0.500810117921254
radiusOfFirstHit_max,0.49738143757443365,0.49738143757443365
Tau32_clusterSoftDrop,0.46002120649960254,0.46002120649960254
pt_log1p_median,-0.4538453732259914,0.4538453732259914
numberOfSCTSharedHits_std,-0.44990942654623256,0.44990942654623256
numberOfPixelHits_std,-0.4232290404957389,0.4232290404957389
numberOfSCTHits_std,0.4117854589217815,0.4117854589217815
numberOfSCTHoles_std,0.3666267757235088,0.3666267757235088
dphi_max,-0.2737482854016909,0.2737482854016909
radiusOfFirstHit_median,0.26600847896190755,0.26600847896190755
numberOfInnermostPixelLayerHits_q90,0.26521525807039875,0.26521525807039875
numberOfInnermostPixelLayerHits_median,-0.2497061269303417,0.2497061269303417
numberOfPixelSharedHits_mean,0.2343921119944729,0.2343921119944729
numberOfSCTHits_q90,-0.22945442120664994,0.22945442120664994
d0_q90,-0.21505807857669254,0.21505807857669254
pt_log1p_max,0.20122706189874562,0.20122706189874562
numberOfSCTHits_median,0.19075273907660145,0.19075273907660145
pt_log1p_q90,-0.17463904860340607,0.17463904860340607
numberOfPixelSharedHits_max,0.1546579720893335,0.1546579720893335
numberOfSCTSharedHits_q90,-0.150927663110722,0.150927663110722
numberOfInnermostPixelLayerHits_max,0.14772210247948572,0.14772210247948572
numberOfSCTHits_max,-0.14567234193999318,0.14567234193999318
dphi_mean,0.13627679345834906,0.13627679345834906
deta_mean,0.13075847348496367,0.13075847348496367
z0SinTheta_std,-0.12188001250742696,0.12188001250742696
numberOfInnermostPixelLayerHits_std,0.1183675025972448,0.1183675025972448
deta_max,-0.09912280420496572,0.09912280420496572
numberOfSCTSharedHits_mean,-0.09695394929193141,0.09695394929193141
d0_max,-0.09279957513636847,0.09279957513636847
d0_median,-0.08973254302822943,0.08973254302822943
deta_median,-0.08907253480305578,0.08907253480305578
radiusOfFirstHit_q90,0.0850986050433986,0.0850986050433986
numberOfSCTSharedHits_median,-0.08258475680583555,0.08258475680583555
d0_mean,0.07405439585846299,0.07405439585846299
deta_q90,-0.0553818664888995,0.0553818664888995
numberOfPixelHits_q90,0.05513968345507421,0.05513968345507421
z0SinTheta_max,-0.05219325982005556,0.05219325982005556
numberOfSCTHoles_max,-0.04812755266278082,0.04812755266278082
z0SinTheta_q90,-0.04797309017406381,0.04797309017406381
numberOfPixelHits_max,0.04570824758329927,0.04570824758329927
dphi_median,-0.041919675017876586,0.041919675017876586
z0SinTheta_mean,0.04003153926112908,0.04003153926112908
eta,-0.03440406693271658,0.03440406693271658
dphi_q90,-0.034402310957462184,0.034402310957462184
z0SinTheta_median,-0.0338421694879222,0.0338421694879222
numberOfPixelHits_median,-0.027659714769993092,0.027659714769993092
numberOfPixelSharedHits_q90,0.019169126879327664,0.019169126879327664
numberOfSCTHoles_q90,0.014276244076116006,0.014276244076116006
numberOfSCTSharedHits_max,0.004646918141409135,0.004646918141409135
numberOfSCTHoles_median,0.0027422485648188367,0.0027422485648188367
numberOfPixelSharedHits_median,0.0,0.0
