model,proxy,bin_low,bin_high,n_signal,eff_at_1pct_mistag
Transformer Deep SVDD,radiusOfFirstHit_median,-0.5149831175804138,-0.49029111862182617,14911,0.30661927436120984
Transformer Deep SVDD,radiusOfFirstHit_median,-0.49029111862182617,-0.1421661227941513,14910,0.27189805499664654
Transformer Deep SVDD,radiusOfFirstHit_median,-0.1421661227941513,0.09115571901202202,14911,0.2689960431895916
Transformer Deep SVDD,radiusOfFirstHit_median,0.09115571901202202,3.684196949005127,14911,0.3220441284957414
Transformer Deep SVDD,abs_d0_median,0.00945376418530941,0.014488690067082644,14911,0.3130574743477969
Transformer Deep SVDD,abs_d0_median,0.014488690067082644,0.03289797157049179,14910,0.23568075117370893
Transformer Deep SVDD,abs_d0_median,0.03289797157049179,0.05656365863978863,14911,0.24894373281470056
Transformer Deep SVDD,abs_d0_median,0.05656365863978863,1.3287584781646729,14911,0.37187311380859767
